"Reporting.Area","MMWR.YEAR","MMWR.WEEK","All.causes.by.age..years..All.Ages","All.causes.by.age..years..All.Ages.flag","All.causes.by.age..years..GE.65","All.causes.by.age..years..GE.65.flag","All.causes.by.age..years..45.ÛÒ64","All.causes.by.age..years..45.ÛÒ64.flag","All.causes.by.age..years..25.ÛÒ44","All.causes.by.age..years..25.ÛÒ44.flag","All.causes.by.age..years..1.ÛÒ24","All.causes.by.age..years..1.ÛÒ24.flag","All.causes.by.age..years..LT.1","All.causes.by.age..years..LT.1.flag","Total","Location.1"
"2314","St. Petersburg FL",2014,18,63,"",33,"",NA,"",NA,"",1,"",NA,"",7,"St. Petersburg FL
 (27.77085637200048 82.67926627199967)"
"2315","Phoenix AZ",2014,18,184,"",114,"",51,"",12,"",5,"",2,"",11,"Phoenix AZ
 (33.448376522000444 112.07403573799968)"
"2316","Las Vegas NV",2014,18,293,"",195,"",82,"",9,"",4,"",1,"",24,"Las Vegas NV
 (36.17496648600047 115.13721702699968)"
"2317","Jersey City NJ",2014,18,19,"",11,"",7,"",NA,"",1,"",NA,"",3,"Jersey City NJ
 (40.7281577710005 74.07763795199963)"
"2318","Philadelphia PA",2014,18,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Philadelphia PA
 (39.95233962700047 75.16378785299963)"
"2319","Los Angeles CA",2014,18,231,"",146,"",63,"",12,"",7,"",3,"",20,"Los Angeles CA
 (34.05222959300045 118.2436798069997)"
"2320","Dallas TX",2014,18,219,"",134,"",56,"",16,"",9,"",4,"",12,"Dallas TX
 (32.78305914300046 96.80666629699965)"
"2321","Canton OH",2014,18,32,"",24,"",8,"",NA,"",NA,"",NA,"",3,"Canton OH
 (40.79894971400046 81.37844575399964)"
"2322","Evansville IN",2014,18,38,"",28,"",6,"",4,"",NA,"",NA,"",5,"Evansville IN
 (37.97475929000046 87.55584710499966)"
"2323","Tacoma WA",2014,18,115,"",77,"",28,"",7,"",2,"",1,"",9,"Tacoma WA
 (47.25287745300051 122.44428824799968)"
"2324","Duluth MN",2014,18,32,"",26,"",5,"",NA,"",1,"",NA,"",2,"Duluth MN
 (46.78326944800045 92.10657711699969)"
"2325","Albany NY",2014,18,45,"",30,"",10,"",3,"",NA,"",2,"",1,"Albany NY
 (42.65257553200047 73.75622822099967)"
"2326","New Bedford MA",2014,18,23,"",17,"",5,"",1,"",NA,"",NA,"",1,"New Bedford MA
 (41.636218666000445 70.93419759699964)"
"2327","Worcester MA",2014,18,69,"",51,"",14,"",4,"",NA,"",NA,"",18,"Worcester MA
 (42.26258765200049 71.80228869399963)"
"2328","Fall River MA",2014,18,31,"",25,"",5,"",1,"",NA,"",NA,"",6,"Fall River MA
 (41.70148962100046 71.15504614199966)"
"2329","Birmingham AL",2014,18,173,"",101,"",52,"",11,"",3,"",6,"",16,"Birmingham AL
 (33.52065782700049 86.80248638099965)"
"2330","Ogden UT",2014,18,38,"",27,"",7,"",4,"",NA,"",NA,"",1,"Ogden UT
 (41.22299943900049 111.97382551899972)"
"2331","Pueblo CO",2014,18,27,"",19,"",4,"",3,"",1,"",NA,"",NA,"Pueblo CO
 (38.25444888500044 104.6091371339997)"
"2332","Corpus Christi TX",2014,18,69,"",45,"",18,"",1,"",3,"",2,"",4,"Corpus Christi TX
 (27.800576119000482 97.39637717799968)"
"2333","Long Beach CA",2014,18,43,"",29,"",13,"",NA,"",NA,"",1,"",4,"Long Beach CA
 (33.76695601500046 118.18922585099972)"
"2334","Paterson NJ",2014,18,22,"",17,"",3,"",1,"",1,"",NA,"",2,"Paterson NJ
 (40.916766802000495 74.17180972999967)"
"2335","Rockford IL",2014,18,53,"",44,"",8,"",1,"",NA,"",NA,"",4,"Rockford IL
 (42.27112786100048 89.09399814199969)"
"2336","Chattanooga TN",2014,18,102,"",72,"",19,"",8,"",2,"",1,"",3,"Chattanooga TN
 (35.04562958500048 85.30967764399963)"
"2337","Kansas City KS",2014,18,33,"",14,"",12,"",5,"",1,"",1,"",2,"Kansas City KS
 (39.114166258000466 94.62745963399965)"
"2338","Peoria IL",2014,18,47,"",35,"",10,"",NA,"",1,"",1,"",6,"Peoria IL
 (40.693645967000464 89.58898829599968)"
"2339","New Haven CT",2014,18,42,"",30,"",8,"",4,"",NA,"",NA,"",6,"New Haven CT
 (41.308149552000486 72.92815641699963)"
"2340","Youngstown OH",2014,18,75,"",61,"",12,"",2,"",NA,"",NA,"",6,"Youngstown OH
 (41.09977835100045 80.64951776699968)"
"2341","Fort Wayne IN",2014,18,77,"",54,"",17,"",5,"",NA,"",1,"",4,"Fort Wayne IN
 (41.130595997000455 85.12885739199965)"
"2342","Austin TX",2014,18,83,"",52,"",24,"",4,"",2,"",1,"",5,"Austin TX
 (30.26714866600048 97.74305656899969)"
"2343","Spokane WA",2014,18,67,"",49,"",14,"",2,"",1,"",1,"",7,"Spokane WA
 (47.65965777700046 117.42907975499969)"
"2344","Washington D.C.",2014,18,111,"",75,"",25,"",5,"",3,"",3,"",11,"Washington D.C.
 (38.89510854700046 77.03636591599968)"
"2345","Detroit MI",2014,18,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Detroit MI
 (42.331426776000455 83.04574832899965)"
"2346","Lincoln NC",2014,18,42,"",34,"",6,"",1,"",1,"",NA,"",NA,"Lincoln NC
 (40.799998117000484 96.66695873599969)"
"2347","Charlotte NC",2014,18,148,"",97,"",38,"",9,"",3,"",1,"",10,"Charlotte NC
 (35.22708877800045 80.84312583499968)"
"2348","St. Paul MN",2014,18,67,"",50,"",13,"",3,"",1,"",NA,"",NA,"St. Paul MN
 (44.94440676300047 93.0932682299997)"
"2349","Wichita KS",2014,18,86,"",56,"",21,"",5,"",1,"",3,"",3,"Wichita KS
 (37.69223945700048 97.33753612799967)"
"2350","Miami FL",2014,18,65,"",48,"",9,"",4,"",3,"",1,"",4,"Miami FL
 (25.774269795000464 80.19365598899964)"
"2351","Montgomery AL",2014,18,49,"",36,"",9,"",2,"",NA,"",2,"",3,"Montgomery AL
 (32.36680719600048 86.29996842399964)"
"2352","Erie PA",2014,18,46,"",39,"",7,"",NA,"",NA,"",NA,"",1,"Erie PA
 (42.1292155050005 80.08505854699968)"
"2353","Yonkers NY",2014,18,17,"",12,"",2,"",2,"",1,"",NA,"",1,"Yonkers NY
 (40.93120596400047 73.89874802099968)"
"2354","Allentown PA",2014,18,22,"",17,"",4,"",1,"",NA,"",NA,"",2,"Allentown PA
 (40.60842836000046 75.49017862299968)"
"2355","South Bend IN",2014,18,69,"",55,"",7,"",3,"",3,"",1,"",6,"South Bend IN
 (41.68337879800049 86.25000955099966)"
"2356","Chicago IL",2014,18,284,"",172,"",76,"",24,"",4,"",8,"",15,"Chicago IL
 (41.850029863000486 87.65004587999965)"
"2357","Mobile AL",2014,18,79,"",53,"",19,"",5,"",1,"",1,"",3,"Mobile AL
 (30.694357098000467 88.04304847999964)"
"2358","New York City NY",2014,18,1051,"",755,"",225,"",52,"",10,"",9,"",51,"New York City NY
 (40.71426755700048 74.00596858999967)"
"2359","Des Moines IA",2014,18,74,"",52,"",13,"",7,"",2,"",NA,"",11,"Des Moines IA
 (41.60053697100045 93.60910945299969)"
"2360","Camden NJ",2014,18,29,"",19,"",7,"",1,"",NA,"",2,"",2,"Camden NJ
 (39.925949571000444 75.11961994399962)"
"2361","Columbus OH",2014,18,217,"",134,"",63,"",8,"",3,"",9,"",9,"Columbus OH
 (39.96117680800046 82.99878617799965)"
"2362","Pasadena CA",2014,18,19,"",17,"",2,"",NA,"",NA,"",NA,"",1,"Pasadena CA
 (34.14777824300046 118.14451799199969)"
"2363","Houston TX",2014,18,418,"",283,"",103,"",20,"",5,"",7,"",9,"Houston TX
 (29.763276335000455 95.36326748399966)"
"2364","Elizabeth NJ",2014,18,21,"",19,"",2,"",NA,"",NA,"",NA,"",3,"Elizabeth NJ
 (40.66398921400048 74.21069962799965)"
"2365","San Diego CA",2014,18,150,"",112,"",31,"",5,"",2,"",NA,"",16,"San Diego CA
 (32.71532691700048 117.15725993099971)"
"2366","Seattle WA",2014,18,112,"",67,"",27,"",11,"",3,"",4,"",7,"Seattle WA
 (47.60620722800047 122.33206864199968)"
"2367","Atlanta GA",2014,18,126,"",73,"",36,"",12,"",4,"",1,"",9,"Atlanta GA
 (33.74899817800048 84.38797851199968)"
"2368","Nashville TN",2014,18,179,"",126,"",42,"",6,"",1,"",4,"",13,"Nashville TN
 (36.165886327000464 86.78443855199964)"
"2369","Lexington KY",2014,18,78,"",53,"",14,"",5,"",4,"",2,"",1,"Lexington KY
 (37.988689999000485 84.47771819999969)"
"2370","Jacksonville FL",2014,18,164,"",113,"",37,"",8,"",4,"",2,"",8,"Jacksonville FL
 (30.33217664300048 81.65564707899966)"
"2371","Mid. Atlantic",2014,18,1766,"",1276,"",373,"",78,"",21,"",18,"",97,""
"2372","Lynn MA",2014,18,9,"",5,"",3,"",NA,"",1,"",NA,"",2,"Lynn MA
 (42.466756242000486 70.94948718099965)"
"2373","New England",2014,19,557,"",383,"",128,"",28,"",9,"",9,"",59,""
"2374","Mid. Atlantic",2014,19,1798,"",1292,"",379,"",78,"",34,"",15,"",104,""
"2375","E.N. Central",2014,19,2051,"",1354,"",499,"",127,"",39,"",26,"",135,""
"2376","W.N. Central",2014,19,755,"",484,"",178,"",51,"",16,"",25,"",25,""
"2377","S. Atlantic",2014,19,1102,"",713,"",263,"",77,"",24,"",25,"",65,""
"2378","E.S. Central",2014,19,920,"",589,"",242,"",54,"",21,"",13,"",53,""
"2379","W.S. Central",2014,19,1581,"",1007,"",373,"",134,"",33,"",34,"",80,""
"2380","Mountain",2014,19,1178,"",814,"",251,"",79,"",19,"",14,"",79,""
"2381","Pacific",2014,19,1684,"",1183,"",348,"",92,"",36,"",25,"",115,""
"2382","Totalå¦",2014,19,11626,"",7819,"",2661,"",720,"",231,"",186,"",715,""
"2383","San Antonio TX",2014,19,306,"",207,"",72,"",20,"",3,"",4,"",11,"San Antonio TX
 (29.424115748000474 98.49362755099969)"
"2384","Montgomery AL",2014,19,61,"",35,"",20,"",3,"",3,"",NA,"",2,"Montgomery AL
 (32.36680719600048 86.29996842399964)"
"2385","Jersey City NJ",2014,19,13,"",7,"",3,"",1,"",2,"",NA,"",2,"Jersey City NJ
 (40.7281577710005 74.07763795199963)"
"2386","South Bend IN",2014,19,33,"",22,"",8,"",2,"",NA,"",1,"",1,"South Bend IN
 (41.68337879800049 86.25000955099966)"
"2387","Peoria IL",2014,19,43,"",33,"",7,"",2,"",NA,"",1,"",3,"Peoria IL
 (40.693645967000464 89.58898829599968)"
"2388","Schenectady NY",2014,19,27,"",16,"",11,"",NA,"",NA,"",NA,"",2,"Schenectady NY
 (42.81423655900045 73.93956823999963)"
"2389","Camden NJ",2014,19,43,"",25,"",14,"",4,"",NA,"",NA,"",4,"Camden NJ
 (39.925949571000444 75.11961994399962)"
"2390","Norfolk VA",2014,19,54,"",42,"",8,"",2,"",2,"",NA,"",5,"Norfolk VA
 (36.846808260000444 76.28521898699967)"
"2391","Atlanta GA",2014,19,100,"",52,"",33,"",8,"",6,"",1,"",4,"Atlanta GA
 (33.74899817800048 84.38797851199968)"
"2392","Tacoma WA",2014,19,120,"",85,"",23,"",6,"",5,"",1,"",8,"Tacoma WA
 (47.25287745300051 122.44428824799968)"
"2393","Austin TX",2014,19,88,"",55,"",19,"",9,"",1,"",4,"",4,"Austin TX
 (30.26714866600048 97.74305656899969)"
"2394","Youngstown OH",2014,19,51,"",40,"",8,"",3,"",NA,"",NA,"",1,"Youngstown OH
 (41.09977835100045 80.64951776699968)"
"2395","Mobile AL",2014,19,88,"",60,"",20,"",4,"",1,"",2,"",7,"Mobile AL
 (30.694357098000467 88.04304847999964)"
"2396","New Bedford MA",2014,19,19,"",13,"",1,"",3,"",NA,"",2,"",3,"New Bedford MA
 (41.636218666000445 70.93419759699964)"
"2397","Long Beach CA",2014,19,55,"",37,"",13,"",3,"",1,"",1,"",2,"Long Beach CA
 (33.76695601500046 118.18922585099972)"
"2398","Los Angeles CA",2014,19,241,"",167,"",52,"",13,"",5,"",4,"",24,"Los Angeles CA
 (34.05222959300045 118.2436798069997)"
"2399","Hartford CT",2014,19,39,"",30,"",7,"",1,"",NA,"",1,"",4,"Hartford CT
 (41.76370985800048 72.68508892999967)"
"2400","Dayton OH",2014,19,128,"",82,"",35,"",7,"",3,"",1,"",11,"Dayton OH
 (39.758947539000474 84.19160769999968)"
"2401","Omaha NE",2014,19,98,"",61,"",30,"",3,"",NA,"",4,"",4,"Omaha NE
 (41.25860914000049 95.9377877719997)"
"2402","San Jose CA",2014,19,196,"",144,"",42,"",5,"",2,"",3,"",8,"San Jose CA
 (37.33938663800046 121.89495662699971)"
"2403","Salt Lake City UT",2014,19,146,"",90,"",37,"",11,"",4,"",4,"",14,"Salt Lake City UT
 (40.76077974900045 111.8910466859997)"
"2404","Boston MA",2014,19,132,"",83,"",36,"",8,"",3,"",2,"",16,"Boston MA
 (42.358428776000494 71.05976746599964)"
"2405","Toledo OH",2014,19,80,"",60,"",15,"",2,"",2,"",1,"",6,"Toledo OH
 (41.663936099000466 83.55520914299967)"
"2406","Denver CO",2014,19,93,"",61,"",18,"",11,"",1,"",2,"",3,"Denver CO
 (39.7391493720005 104.98469934999969)"
"2407","Cleveland OH",2014,19,273,"",184,"",66,"",13,"",9,"",1,"",19,"Cleveland OH
 (41.49949882900046 81.69540989699965)"
"2408","Trenton NJ",2014,19,19,"",9,"",6,"",3,"",NA,"",1,"",1,"Trenton NJ
 (40.21704561000047 74.74293733199966)"
"2409","Utica NY",2014,19,17,"",13,"",4,"",NA,"",NA,"",NA,"",1,"Utica NY
 (43.10089600800046 75.23265847499965)"
"2410","Duluth MN",2014,19,34,"",26,"",8,"",NA,"",NA,"",NA,"",2,"Duluth MN
 (46.78326944800045 92.10657711699969)"
"2411","Jacksonville FL",2014,19,162,"",107,"",33,"",18,"",2,"",2,"",7,"Jacksonville FL
 (30.33217664300048 81.65564707899966)"
"2412","Memphis TN",2014,19,213,"",115,"",69,"",19,"",5,"",5,"",14,"Memphis TN
 (35.14952946200049 90.04897619199966)"
"2413","Pasadena CA",2014,19,33,"",28,"",5,"",NA,"",NA,"",NA,"",5,"Pasadena CA
 (34.14777824300046 118.14451799199969)"
"2414","Newark NJ",2014,19,53,"",27,"",17,"",NA,"",6,"",3,"",2,"Newark NJ
 (40.735658576000446 74.17236767799966)"
"2415","Houston TX",2014,19,439,"",272,"",105,"",42,"",12,"",8,"",15,"Houston TX
 (29.763276335000455 95.36326748399966)"
"2416","Paterson NJ",2014,19,28,"",17,"",7,"",2,"",1,"",1,"",2,"Paterson NJ
 (40.916766802000495 74.17180972999967)"
"2417","Pueblo CO",2014,19,39,"",28,"",9,"",1,"",1,"",NA,"",2,"Pueblo CO
 (38.25444888500044 104.6091371339997)"
"2418","San Francisco CA",2014,19,109,"",79,"",23,"",5,"",1,"",1,"",7,"San Francisco CA
 (37.774928298000475 122.41941905199968)"
"2419","Cincinnati OH",2014,19,98,"",57,"",24,"",13,"",NA,"",4,"",10,"Cincinnati OH
 (39.1619968280005 84.45688962899965)"
"2420","Canton OH",2014,19,30,"",19,"",11,"",NA,"",NA,"",NA,"",3,"Canton OH
 (40.79894971400046 81.37844575399964)"
"2421","Philadelphia PA",2014,19,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Philadelphia PA
 (39.95233962700047 75.16378785299963)"
"2422","Ogden UT",2014,19,38,"",28,"",5,"",4,"",1,"",NA,"",5,"Ogden UT
 (41.22299943900049 111.97382551899972)"
"2423","Somerville MA",2014,19,4,"",2,"",2,"",NA,"",NA,"",NA,"",NA,"Somerville MA
 (42.38759957400049 71.09949878699967)"
"2424","Milwaukee WI",2014,19,75,"",53,"",15,"",5,"",1,"",1,"",5,"Milwaukee WI
 (43.038896251000494 87.90646812999967)"
"2425","New Haven CT",2014,19,45,"",27,"",12,"",4,"",2,"",NA,"",3,"New Haven CT
 (41.308149552000486 72.92815641699963)"
"2426","Detroit MI",2014,19,210,"",106,"",65,"",22,"",10,"",1,"",14,"Detroit MI
 (42.331426776000455 83.04574832899965)"
"2427","New Orleans LA",2014,19,40,"",30,"",5,"",2,"",3,"",NA,"",4,"New Orleans LA
 (29.95464811000045 90.07506927499969)"
"2428","Lexington KY",2014,19,87,"",60,"",17,"",7,"",2,"",1,"",2,"Lexington KY
 (37.988689999000485 84.47771819999969)"
"2429","Fort Worth TX",2014,19,NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"U",NA,"Fort Worth TX
 (32.725405983000485 97.32084717299966)"
"2430","Little Rock AR",2014,19,40,"",13,"",15,"",8,"",1,"",3,"",2,"Little Rock AR
 (39.52368635500045 99.11415045099966)"
"2431","Erie PA",2014,19,41,"",32,"",5,"",3,"",1,"",NA,"",2,"Erie PA
 (42.1292155050005 80.08505854699968)"
"2432","Glendale CA",2014,19,20,"",15,"",4,"",NA,"",NA,"",1,"",1,"Glendale CA
 (34.142509231000474 118.2550772519997)"
"2433","Colorado Springs CO",2014,19,85,"",57,"",20,"",6,"",2,"",NA,"",2,"Colorado Springs CO
 (38.83387821800045 104.82135997799969)"
"2434","Des Moines IA",2014,19,58,"",44,"",10,"",4,"",NA,"",NA,"",3,"Des Moines IA
 (41.60053697100045 93.60910945299969)"
"2435","Cambridge MA",2014,19,14,"",11,"",2,"",1,"",NA,"",NA,"",1,"Cambridge MA
 (42.37509973100049 71.10560922099967)"
"2436","Birmingham AL",2014,19,148,"",96,"",41,"",7,"",3,"",1,"",11,"Birmingham AL
 (33.52065782700049 86.80248638099965)"
"2437","Sacramento CA",2014,19,207,"",141,"",45,"",15,"",3,"",3,"",16,"Sacramento CA
 (38.58156858700045 121.49439922699969)"
"2438","Syracuse NY",2014,19,69,"",51,"",15,"",3,"",NA,"",NA,"",5,"Syracuse NY
 (43.04811589700046 76.14741924999964)"
"2439","Richmond VA",2014,19,55,"",35,"",15,"",4,"",1,"",NA,"",4,"Richmond VA
 (37.5537557830005 77.46025815499968)"
"2440","Albuquerque NM",2014,19,126,"",103,"",17,"",5,"",1,"",NA,"",14,"Albuquerque NM
 (35.084487986000454 106.65113800499967)"
"2441","Savannah GA",2014,19,65,"",40,"",16,"",4,"",2,"",3,"",3,"Savannah GA
 (32.08353593300046 81.09982705899967)"
"2442","Fall River MA",2014,19,25,"",19,"",5,"",1,"",NA,"",NA,"",6,"Fall River MA
 (41.70148962100046 71.15504614199966)"
"2443","Las Vegas NV",2014,19,272,"",187,"",64,"",16,"",1,"",3,"",22,"Las Vegas NV
 (36.17496648600047 115.13721702699968)"
"2444","Akron OH",2014,19,49,"",33,"",10,"",3,"",2,"",1,"",4,"Akron OH
 (41.081438050000486 81.51900823499966)"
"2445","Lynn MA",2014,19,9,"",5,"",4,"",NA,"",NA,"",NA,"",1,"Lynn MA
 (42.466756242000486 70.94948718099965)"
"2446","Fresno CA",2014,19,127,"",86,"",23,"",10,"",5,"",3,"",7,"Fresno CA
 (36.74772743700049 119.77236822099968)"
"2447","Tampa FL",2014,19,104,"",72,"",21,"",4,"",2,"",5,"",3,"Tampa FL
 (27.947519009000473 82.45842672599969)"
"2448","Chattanooga TN",2014,19,79,"",53,"",19,"",4,"",1,"",2,"",5,"Chattanooga TN
 (35.04562958500048 85.30967764399963)"
"2449","Dallas TX",2014,19,237,"",135,"",60,"",23,"",9,"",10,"",19,"Dallas TX
 (32.78305914300046 96.80666629699965)"
"2450","Providence RI",2014,19,65,"",50,"",12,"",2,"",1,"",NA,"",5,"Providence RI
 (41.82398627500049 71.41282726599962)"
"2451","Chicago IL",2014,19,272,"",180,"",64,"",22,"",5,"",1,"",11,"Chicago IL
 (41.850029863000486 87.65004587999965)"
"2452","Phoenix AZ",2014,19,141,"",87,"",38,"",10,"",4,"",2,"",9,"Phoenix AZ
 (33.448376522000444 112.07403573799968)"
"2453","Minneapolis MN",2014,19,58,"",34,"",18,"",3,"",NA,"",3,"",2,"Minneapolis MN
 (44.979966969000486 93.26383843199966)"
"2454","Fort Wayne IN",2014,19,73,"",50,"",15,"",2,"",2,"",4,"",2,"Fort Wayne IN
 (41.130595997000455 85.12885739199965)"
"2455","Portland OR",2014,19,118,"",83,"",27,"",4,"",2,"",2,"",8,"Portland OR
 (45.52344913200045 122.6762057679997)"
"2456","Lowell MA",2014,19,24,"",18,"",6,"",NA,"",NA,"",NA,"",1,"Lowell MA
 (42.63341630600047 71.31616721899962)"
"2457","New York City NY",2014,19,1054,"",774,"",214,"",41,"",20,"",5,"",56,"New York City NY
 (40.71426755700048 74.00596858999967)"
"2458","Spokane WA",2014,19,64,"",46,"",8,"",9,"",1,"",NA,"",3,"Spokane WA
 (47.65965777700046 117.42907975499969)"
"2459","Baton Rouge LA",2014,19,108,"",62,"",32,"",14,"",NA,"",NA,"",3,"Baton Rouge LA
 (30.450749661000486 91.15454629399966)"
"2460","Gary IN",2014,19,11,"",6,"",3,"",1,"",1,"",NA,"",NA,"Gary IN
 (41.5933691350005 87.34642750099965)"
"2461","Baltimore MD",2014,19,162,"",97,"",44,"",12,"",5,"",4,"",13,"Baltimore MD
 (39.29037893700047 76.61218570299962)"
"2462","Rockford IL",2014,19,61,"",47,"",12,"",1,"",NA,"",1,"",2,"Rockford IL
 (42.27112786100048 89.09399814199969)"
"2463","San Diego CA",2014,19,149,"",110,"",27,"",7,"",3,"",2,"",11,"San Diego CA
 (32.71532691700048 117.15725993099971)"
"2464","Lansing MI",2014,19,46,"",34,"",9,"",2,"",NA,"",1,"",4,"Lansing MI
 (42.732537626000465 84.55552949299965)"
"2465","Knoxville TN",2014,19,73,"",50,"",20,"",2,"",1,"",NA,"",6,"Knoxville TN
 (35.96063783700049 83.92073728699967)"
"2466","Shreveport LA",2014,19,85,"",59,"",17,"",7,"",1,"",1,"",5,"Shreveport LA
 (32.52514753100047 93.75017588799966)"
"2467","Waterbury CT",2014,19,34,"",24,"",8,"",2,"",NA,"",NA,"",4,"Waterbury CT
 (41.558146397000485 73.05149899299965)"
"2468","Reading PA",2014,19,33,"",21,"",9,"",2,"",NA,"",1,"",2,"Reading PA
 (40.335645625000495 75.92686767699968)"
"2469","Springfield MA",2014,19,42,"",25,"",12,"",2,"",1,"",2,"",2,"Springfield MA
 (42.10147557400046 72.58980575499965)"
"2470","Scranton PA",2014,19,34,"",29,"",5,"",NA,"",NA,"",NA,"",4,"Scranton PA
 (41.408967214000484 75.66240917099964)"
"2471","Bridgeport CT",2014,19,29,"",22,"",5,"",1,"",1,"",NA,"",1,"Bridgeport CT
 (41.16703812200046 73.20482679199966)"
"2472","El Paso TX",2014,19,110,"",83,"",21,"",4,"",1,"",1,"",9,"El Paso TX
 (31.758715518000486 106.48692571399971)"
"2473","St. Louis MO",2014,19,188,"",100,"",48,"",19,"",10,"",10,"",10,"St. Louis MO
 (38.62726635500047 90.19788989999967)"
"2474","St. Paul MN",2014,19,48,"",33,"",6,"",5,"",3,"",1,"",2,"St. Paul MN
 (44.94440676300047 93.0932682299997)"
"2475","Allentown PA",2014,19,31,"",24,"",6,"",1,"",NA,"",NA,"",1,"Allentown PA
 (40.60842836000046 75.49017862299968)"
"2476","Miami FL",2014,19,80,"",60,"",11,"",4,"",2,"",3,"",3,"Miami FL
 (25.774269795000464 80.19365598899964)"
"2477","Berkeley CA",2014,19,9,"",5,"",4,"",NA,"",NA,"",NA,"",NA,"Berkeley CA
 (37.871588345000475 122.27274613599968)"
"2478","Rochester NY",2014,19,147,"",112,"",25,"",8,"",1,"",1,"",4,"Rochester NY
 (43.154778518000455 77.61555677099966)"
"2479","Kansas City KS",2014,19,25,"",12,"",6,"",4,"",3,"",NA,"",NA,"Kansas City KS
 (39.114166258000466 94.62745963399965)"
"2480","Buffalo NY",2014,19,87,"",64,"",16,"",4,"",2,"",1,"",8,"Buffalo NY
 (42.88644587100049 78.87836930999964)"
"2481","Washington D.C.",2014,19,143,"",95,"",37,"",10,"",NA,"",1,"",12,"Washington D.C.
 (38.89510854700046 77.03636591599968)"
"2482","Wichita KS",2014,19,90,"",60,"",22,"",6,"",NA,"",2,"",NA,"Wichita KS
 (37.69223945700048 97.33753612799967)"
"2483","Charlotte NC",2014,19,115,"",74,"",25,"",9,"",2,"",5,"",7,"Charlotte NC
 (35.22708877800045 80.84312583499968)"
"2484","Albany NY",2014,19,35,"",23,"",8,"",2,"",NA,"",2,"",4,"Albany NY
 (42.65257553200047 73.75622822099967)"
"2485","Lincoln NC",2014,19,59,"",51,"",8,"",NA,"",NA,"",NA,"",NA,"Lincoln NC
 (40.799998117000484 96.66695873599969)"
"2486","Nashville TN",2014,19,171,"",120,"",36,"",8,"",5,"",2,"",6,"Nashville TN
 (36.165886327000464 86.78443855199964)"
"2487","Elizabeth NJ",2014,19,10,"",4,"",5,"",1,"",NA,"",NA,"",NA,"Elizabeth NJ
 (40.66398921400048 74.21069962799965)"
"2488","Pittsburgh PAå¤",2014,19,39,"",32,"",5,"",2,"",NA,"",NA,"",2,"Pittsburgh PA
 (40.44061640300049 79.99588580599965)"
"2489","Grand Rapids MI",2014,19,45,"",29,"",12,"",3,"",NA,"",1,"",4,"Grand Rapids MI
 (42.96335724700049 85.66808744799965)"
"2490","Boise ID",2014,19,58,"",44,"",9,"",2,"",2,"",1,"",6,"Boise ID
 (43.61349753100046 116.20344727299971)"
"2491","Indianapolis IN",2014,19,177,"",115,"",49,"",9,"",2,"",2,"",13,"Indianapolis IN
 (39.768378665000455 86.15803806899964)"
"2492","Tulsa OK",2014,19,66,"",52,"",11,"",1,"",NA,"",2,"",2,"Tulsa OK
 (36.153975930000456 95.99277717899969)"
"2493","St. Petersburg FL",2014,19,58,"",38,"",17,"",2,"",NA,"",1,"",3,"St. Petersburg FL
 (27.77085637200048 82.67926627199967)"
"2494","Tucson AZ",2014,19,180,"",129,"",34,"",13,"",2,"",2,"",2,"Tucson AZ
 (32.22173613300049 110.92647552399967)"
"2495","Wilmington DE",2014,19,4,"",1,"",3,"",NA,"",NA,"",NA,"",1,"Wilmington DE
 (39.7459482430005 75.54658989799964)"
"2496","Yonkers NY",2014,19,18,"",12,"",4,"",1,"",1,"",NA,"",2,"Yonkers NY
 (40.93120596400047 73.89874802099968)"
"2497","Corpus Christi TX",2014,19,62,"",39,"",16,"",4,"",2,"",1,"",6,"Corpus Christi TX
 (27.800576119000482 97.39637717799968)"
"2498","Santa Cruz CA",2014,19,30,"",22,"",8,"",NA,"",NA,"",NA,"",1,"Santa Cruz CA
 (36.97411946900047 122.0307990449997)"
"2499","Columbus OH",2014,19,249,"",168,"",61,"",14,"",2,"",4,"",18,"Columbus OH
 (39.96117680800046 82.99878617799965)"
"2500","Honolulu HI",2014,19,94,"",62,"",22,"",2,"",6,"",2,"",12,"Honolulu HI
 (21.306939558000465 157.85832571099974)"
"2501","Evansville IN",2014,19,47,"",36,"",10,"",1,"",NA,"",NA,"",4,"Evansville IN
 (37.97475929000046 87.55584710499966)"
"2502","Kansas City MO",2014,19,97,"",63,"",22,"",7,"",NA,"",5,"",2,"Kansas City MO
 (39.099727095000446 94.57856716299966)"
"2503","Worcester MA",2014,19,76,"",54,"",16,"",3,"",1,"",2,"",12,"Worcester MA
 (42.26258765200049 71.80228869399963)"
"2504","Seattle WA",2014,19,112,"",73,"",22,"",13,"",2,"",2,"",2,"Seattle WA
 (47.60620722800047 122.33206864199968)"
